,DB_target_rank,family,nPDBs,plasmid_ID,plasmid_nconflicts,plasmid_nextraneous_residues,plasmid_source,selected_construct_nextraneous_residues,selected_construct_source,targetID,top_pdb_ID,top_pdb_auth_score,top_pdb_expr_tag,top_pdb_nextraneous_residues,top_pdb_taxname
10,151,STE,4,MAP3K5A-c005,0.0,34.0,SGC Oxford,34.0,SGC,M3K5_HUMAN_D0,2CLQ_B,2.0,TEV_cleaved_Nterm,37.0,Human
11,12,TK,31,HsCD00038619,0.0,879.0,HIP pJP1520,36.0,PDB,ABL1_HUMAN_D0,3UE4_A,2.0,TEV_cleaved_Nterm,36.0,Human
12,78,TKL,2,BMPR2A-c019,0.0,34.0,SGC Oxford,34.0,SGC,BMPR2_HUMAN_D0,3G2F_A,2.0,Histag_Cterm,35.0,Human
13,4,TKL,8,HsCD00038362,0.0,505.0,HIP pJP1520,24.0,PDB,BRAF_HUMAN_D0,4JVG_D,2.0,TEV_cleaved_Nterm,24.0,Human
14,257,CMGC,1,HsCD00038310,0.0,214.0,HIP pJP1520,43.0,PDB,CDK16_HUMAN_D0,3MTL_A,2.0,Histag_Cterm,43.0,Human
15,361,CMGC,3,CDKL1A-c024,4.0,42.0,SGC Oxford,28.0,PDB,CDKL1_HUMAN_D0,4AGU_B,2.0,TEV_Cterm,28.0,Human
16,24,CAMK,44,HsCD00038325,1.0,276.0,HIP pJP1520,63.0,PDB,CHK2_HUMAN_D0,2CN5_A,1.0,other_extra_seq_Nterm,63.0,Human
17,171,CMGC,2,CLK1A-c007,1.0,20.0,SGC Oxford,20.0,SGC,CLK1_HUMAN_D0,2VAG_A,2.0,TEV_cleaved_Nterm,23.0,Human
18,223,CMGC,6,CLK3A-c005,0.0,41.0,SGC Oxford,41.0,SGC,CLK3_HUMAN_D0,2WU7_A,2.0,TEV_uncleaved_Nterm,65.0,Human
19,154,,2,HsCD00037966,0.0,65.0,HIP pJP1520,54.0,PDB,CSK22_HUMAN_D0,3E3B_X,1.0,other_extra_seq_Nterm,54.0,Human
20,111,CAMK,10,HsCD00038384,0.0,633.0,HIP pJP1520,97.0,PDB,CSKP_HUMAN_D0,3TAC_A,2.0,Histag_Nterm,97.0,Human
21,148,TK,4,HsCD00038091,0.0,196.0,HIP pJP1520,15.0,PDB,CSK_HUMAN_D0,3D7T_A,1.0,other_extra_seq_Nterm,15.0,Human
22,180,CAMK,39,HsCD00038376,1.0,1168.0,HIP pJP1520,74.0,PDB,DAPK1_HUMAN_D0,4B4L_A,2.0,TEV_cleaved_Nterm,74.0,Human
23,110,AGC,2,DMPK1A-c026,0.0,141.0,SGC Oxford,141.0,SGC,DMPK_HUMAN_D0,2VD5_B,2.0,TEV_cleaved_Nterm,144.0,Human
24,83,CMGC,25,DYRK1AA-c004,0.0,38.0,SGC Oxford,38.0,SGC,DYR1A_HUMAN_D0,4MQ2_C,2.0,TEV_cleaved_Nterm,41.0,Human
25,135,,5,HsCD00038350,0.0,279.0,HIP pJP1520,35.0,PDB,E2AK2_HUMAN_D0,3UIU_A,2.0,Histag_Cterm,35.0,Human
26,95,TK,21,HsCD00038676,0.0,722.0,HIP pJP1520,100.0,PDB,EPHA3_HUMAN_D0,4GK2_A,2.0,Histag_Nterm,100.0,Human
27,91,TK,7,HsCD00038588,1.0,723.0,HIP pJP1520,35.0,PDB,EPHB2_HUMAN_D0,3ZFM_A,2.0,TEV_cleaved_Nterm,35.0,Human
28,202,TK,2,HsCD00038757,0.0,735.0,HIP pJP1520,35.0,PDB,EPHB3_HUMAN_D0,3ZFY_B,2.0,TEV_cleaved_Nterm,35.0,Human
29,96,TK,2,HsCD00038678,1.0,703.0,HIP pJP1520,21.0,PDB,EPHB4_HUMAN_D0,3ZEW_A,2.0,TEV_cleaved_Nterm,21.0,Human
30,32,TK,2,HsCD00038381,0.0,747.0,HIP pJP1520,23.0,PDB,FAK1_HUMAN_D0,2IJM_B,2.0,TEV_cleaved_Nterm,23.0,Human
31,76,TK,2,HsCD00037946,0.0,751.0,HIP pJP1520,23.0,PDB,FAK2_HUMAN_D0,3CC6_A,2.0,TEV_cleaved_Nterm,23.0,Human
32,119,TK,4,FESA-c001,0.0,113.0,SGC Oxford,113.0,SGC,FES_HUMAN_D0,3CBL_A,2.0,TEV_cleaved_Nterm,116.0,Human
33,11,TK,28,HsCD00038214,0.0,531.0,HIP pJP1520,30.0,PDB,FGFR1_HUMAN_D0,3KY2_A,2.0,Histag_Nterm,30.0,Human
34,201,,6,GAKA-c006,0.0,61.0,SGC Oxford,61.0,SGC,GAK_HUMAN_D0,4O38_A,2.0,TEV_cleaved_Nterm,64.0,Human
35,371,,7,GSG2A-c009,0.0,19.0,SGC Oxford,19.0,SGC,HASP_HUMAN_D0,2VUW_A,2.0,TEV_cleaved_Nterm,22.0,Human
36,63,AGC,162,HsCD00038189,0.0,97.0,HIP pJP1520,102.0,PDB,KAPCA_HUMAN_D0,4IAC_A,2.0,Histag_Nterm,102.0,Mouse
37,233,CK1,14,HsCD00038339,0.0,147.0,HIP pJP1520,28.0,PDB,KC1E_HUMAN_D0,4HNI_A,2.0,TEV_cleaved_Nterm,28.0,Human
38,276,CK1,1,CSNK1G1A-c013,1.0,37.0,SGC Oxford,37.0,SGC,KC1G1_HUMAN_D0,2CMW_A,2.0,TEV_cleaved_Nterm,39.0,Human
39,238,CK1,4,CSNK1G2A-c002,1.0,41.0,SGC Oxford,41.0,SGC,KC1G2_HUMAN_D0,2C47_A,2.0,TEV_cleaved_Nterm,43.0,Human
40,294,CK1,9,CSNK1G3A-c002,1.0,57.0,SGC Oxford,57.0,SGC,KC1G3_HUMAN_D0,2CHL_A,2.0,TEV_uncleaved_Nterm,81.0,Human
41,305,CAMK,2,CAMK1GA-c034,0.0,47.0,SGC Oxford,47.0,SGC,KCC1G_HUMAN_D0,2JAM_A,2.0,TEV_cleaved_Nterm,50.0,Human
42,376,CAMK,3,CAMK2AA-c026,0.0,31.0,SGC Oxford,31.0,SGC,KCC2A_HUMAN_D0,2VZ6_B,2.0,TEV_uncleaved_Nterm,55.0,Human
43,249,CAMK,4,CAMK2BA-c013,0.0,34.0,SGC Oxford,34.0,SGC,KCC2B_HUMAN_D0,3BHH_D,2.0,TEV_cleaved_Nterm,37.0,Human
44,172,CAMK,3,CAMK2DA-c028,0.0,66.0,SGC Oxford,43.0,PDB,KCC2D_HUMAN_D0,2VN9_A,2.0,TEV_cleaved_Nterm,43.0,Human
45,218,CAMK,1,CAMK2GA-c006,1.0,54.0,SGC Oxford,54.0,SGC,KCC2G_HUMAN_D0,2V7O_A,2.0,TEV_uncleaved_Nterm,78.0,Human
46,132,AGC,2,RPS6KA1A-c036,0.0,65.0,SGC Oxford,65.0,SGC,KS6A1_HUMAN_D1,3RNY_B,2.0,Histag_Nterm,89.0,Human
47,49,AGC,4,HsCD00038078,0.0,481.0,HIP pJP1520,46.0,PDB,KS6A3_HUMAN_D0,4GUE_A,2.0,TEV_cleaved_Nterm,46.0,Mouse
48,75,CAMK,77,HsCD00037983,0.0,93.0,HIP pJP1520,65.0,PDB,MAPK2_HUMAN_D0,2JBO_A,2.0,TEV_cleaved_Nterm,65.0,Human
49,372,CAMK,4,HsCD00038172,0.0,122.0,HIP pJP1520,76.0,PDB,MAPK3_HUMAN_D0,3FXW_A,2.0,TEV_uncleaved_Nterm,76.0,Human
50,237,CAMK,20,HsCD00038251,0.0,504.0,HIP pJP1520,68.0,PDB,MARK2_HUMAN_D0,3IEC_D,1.0,other_extra_seq_Nterm,68.0,Human
51,366,CAMK,4,HsCD00038194,0.0,478.0,HIP pJP1520,77.0,PDB,MARK3_HUMAN_D0,2QNJ_A,1.0,other_extra_seq_Nterm,77.0,Human
52,137,CAMK,2,HsCD00038574,0.0,399.0,HIP pJP1520,82.0,PDB,MELK_HUMAN_D0,4BFM_A,2.0,Histag_Cterm,82.0,Mouse
53,6,TK,6,HsCD00038375,0.0,1123.0,HIP pJP1520,50.0,PDB,MET_HUMAN_D0,4EEV_A,2.0,Histag_Nterm,50.0,Human
54,16,CMGC,61,HsCD00038083,0.0,71.0,HIP pJP1520,74.0,PDB,MK01_HUMAN_D0,4FMQ_A,2.0,TEV_cleaved_Nterm,74.0,Human
55,52,CMGC,2,HsCD00038354,0.0,90.0,HIP pJP1520,94.0,PDB,MK03_HUMAN_D0,2ZOQ_B,1.0,other_extra_seq_Nterm,94.0,Human
56,36,CMGC,32,HsCD00038084,0.0,89.0,HIP pJP1520,74.0,PDB,MK08_HUMAN_D0,1UKH_A,2.0,Histag_Cterm,74.0,Human
57,159,CMGC,5,MAPK11A-c007,0.0,61.0,SGC Oxford,61.0,SGC,MK11_HUMAN_D0,3GP0_A,2.0,TEV_cleaved_Nterm,64.0,Human
58,240,CMGC,4,HsCD00038307,0.0,81.0,HIP pJP1520,88.0,PDB,MK13_HUMAN_D0,4EYJ_A,2.0,Histag_Nterm,88.0,Human
59,14,CMGC,234,HsCD00038632,0.0,75.0,HIP pJP1520,78.0,PDB,MK14_HUMAN_D0,2Y8O_A,2.0,TEV_cleaved_Nterm,78.0,Human
60,214,CAMK,2,HsCD00038677,4.0,140.0,HIP pJP1520,23.0,PDB,MKNK1_HUMAN_D0,2HW6_B,2.0,TEV_cleaved_Nterm,23.0,Human
61,251,CAMK,3,HsCD00037986,3.0,113.0,HIP pJP1520,15.0,PDB,MKNK2_HUMAN_D0,2AC5_A,2.0,TEV_cleaved_Nterm,15.0,Human
62,88,STE,2,HsCD00038263,0.0,103.0,HIP pJP1520,57.0,PDB,MP2K2_HUMAN_D0,1S9I_A,2.0,Histag_Cterm,57.0,Human
63,181,STE,6,HsCD00038296,0.0,133.0,HIP pJP1520,62.0,PDB,MP2K4_HUMAN_D0,3VUT_B,2.0,Histag_Cterm,62.0,Human
64,222,STE,2,MAP2K6A-c025,2.0,26.0,SGC Oxford,26.0,SGC,MP2K6_HUMAN_D0,3FME_A,2.0,TEV_cleaved_Nterm,29.0,Human
65,232,AGC,1,CDC42BPAA-c004,4.0,171.0,SGC Oxford,171.0,SGC,MRCKA_HUMAN_D0,4AW2_A,2.0,TEV_Cterm,171.0,Rat
66,308,STE,5,HsCD00038628,0.0,165.0,HIP pJP1520,33.0,PDB,MST4_HUMAN_D0,4FZD_B,2.0,TEV_cleaved_Nterm,33.0,Human
67,141,NEK,4,NEK1A-c011,1.0,72.0,SGC Oxford,72.0,SGC,NEK1_HUMAN_D0,4APC_A,2.0,TEV_uncleaved_Nterm,96.0,Human
68,89,NEK,20,NEK2A-c112,1.0,15.0,SGC Oxford,15.0,SGC,NEK2_HUMAN_D0,2XKE_A,2.0,Histag_Cterm,16.0,Human
69,299,NEK,2,HsCD00039217,0.0,37.0,HIP pJP1520,45.0,PDB,NEK7_HUMAN_D0,2WQN_A,2.0,Histag_Cterm,45.0,Human
70,157,STE,17,HsCD00038597,1.0,294.0,HIP pJP1520,55.0,PDB,PAK1_HUMAN_D0,3Q52_A,2.0,Histag_Cterm,55.0,Human
71,162,STE,24,PAK4A-c010,0.0,280.0,SGC Oxford,52.0,PDB,PAK4_HUMAN_D0,2J0I_A,2.0,TEV_cleaved_Nterm,52.0,Human
72,282,STE,3,PAK6A-c014,0.0,61.0,SGC Oxford,61.0,SGC,PAK6_HUMAN_D0,2C30_A,2.0,TEV_uncleaved_Nterm,70.0,Human
73,236,STE,2,PAK5A-c011,0.0,43.0,SGC Oxford,43.0,SGC,PAK7_HUMAN_D0,2F57_B,2.0,TEV_uncleaved_Nterm,66.0,Human
74,134,CAMK,4,PHKG2A-c020,0.0,20.0,SGC Oxford,20.0,SGC,PHKG2_HUMAN_D0,2Y7J_D,2.0,TEV_uncleaved_Nterm,98.0,Human
75,77,CAMK,91,PIM1A-c001,1.0,58.0,SGC Oxford,41.0,PDB,PIM1_HUMAN_D0,2O65_A,2.0,Histag_Cterm,41.0,Human
76,190,,5,HsCD00038156,0.0,433.0,HIP pJP1520,56.0,PDB,PLK2_HUMAN_D0,4I5P_A,2.0,Histag_Nterm,56.0,Human
77,304,,1,PKMYT1A-c004,0.0,38.0,SGC Oxford,38.0,SGC,PMYT1_HUMAN_D0,3P1A_A,2.0,TEV_uncleaved_Nterm,62.0,Human
78,207,STE,4,SLKA-c004,0.0,43.0,SGC Oxford,43.0,SGC,SLK_HUMAN_D0,2JFL_A,2.0,TEV_uncleaved_Nterm,67.0,Human
79,10,TK,97,HsCD00038220,0.0,283.0,HIP pJP1520,33.0,PDB,SRC_HUMAN_D0,4MXO_A,2.0,TEV_cleaved_Nterm,33.0,Human
80,279,CAMK,2,STK17BA-c014,0.0,43.0,SGC Oxford,43.0,SGC,ST17B_HUMAN_D0,3LM0_A,2.0,TEV_uncleaved_Nterm,67.0,Human
81,126,STE,6,STK10A-c013,0.0,41.0,SGC Oxford,41.0,SGC,STK10_HUMAN_D0,4AOT_B,2.0,TEV_cleaved_Nterm,44.0,Human
82,302,,2,STK16A-c002,1.0,20.0,SGC Oxford,20.0,SGC,STK16_HUMAN_D0,2BUJ_B,2.0,TEV_uncleaved_Nterm,44.0,Human
83,274,STE,11,HsCD00038327,0.0,180.0,HIP pJP1520,44.0,PDB,STK24_HUMAN_D0,3ZHP_C,2.0,TEV_uncleaved_Nterm,44.0,Human
84,219,STE,10,HsCD00038099,0.0,240.0,HIP pJP1520,48.0,PDB,STK3_HUMAN_D0,4LG4_B,2.0,TEV_cleaved_Nterm,48.0,Human
85,402,STE,1,HsCD00037995,0.0,92.0,HIP pJP1520,79.0,PDB,STRAA_HUMAN_D0,3GNI_B,2.0,TEV_uncleaved_Nterm,79.0,Human
86,158,,20,TTKA-c013,0.0,23.0,SGC Oxford,23.0,SGC,TTK_HUMAN_D0,3H9F_A,2.0,TEV_uncleaved_Nterm,47.0,Human
87,19,TK,1,HsCD00038373,0.0,1007.0,HIP pJP1520,29.0,PDB,VGFR1_HUMAN_D0,3HNG_A,2.0,TEV_cleaved_Nterm,29.0,Human
88,384,CK1,4,VRK1A-c510,6.0,81.0,SGC Oxford,81.0,SGC,VRK1_HUMAN_D0,3OP5_D,2.0,TEV_cleaved_Nterm,84.0,Human
89,354,CK1,2,VRK2A-c017,0.0,31.0,SGC Oxford,31.0,SGC,VRK2_HUMAN_D0,2V62_B,2.0,TEV_uncleaved_Nterm,55.0,Human
90,445,CK1,2,VRK3A-c016,0.0,37.0,SGC Oxford,37.0,SGC,VRK3_HUMAN_D0,2JII_A,2.0,TEV_uncleaved_Nterm,61.0,Human
