,DB_target_rank,DB_target_score,UniProtAC,UniProt_entry_name,nmatching_PDB_structures,targetID,target_NCBI_GeneID,target_domain_len,top_PDB_chain_ID,top_cnstrct_auth_score,top_cnstrct_expr_sys,top_cnstrct_expr_tag,top_cnstrct_taxname
53,108,37.3,O14936,CSKP_HUMAN,8,CSKP_HUMAN_D0,8573.0,265.0,3TAC_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
54,25,54.3,P49841,GSK3B_HUMAN,7,GSK3B_HUMAN_D0,2932.0,285.0,2O5K_A,7,ESCHERICHIA COLI BL21,Nterm_Histag,Human
55,51,45.8,P51812,KS6A3_HUMAN,5,KS6A3_HUMAN_D1,6197.0,258.0,4JG7_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
56,95,38.5,Q12866,MERTK_HUMAN,5,MERTK_HUMAN_D0,10461.0,272.0,3BPR_B,7,ESCHERICHIA COLI BL21(DE3),Nterm_Histag,Human
57,6,68.5,P08581,MET_HUMAN,5,MET_HUMAN_D0,4233.0,268.0,4EEV_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
58,190,32.5,Q9NYY3,PLK2_HUMAN,5,PLK2_HUMAN_D0,10769.0,253.0,4I5P_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
59,239,31.0,O15264,MK13_HUMAN,4,MK13_HUMAN_D0,5603.0,284.0,4EYJ_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
60,180,33.0,P45985,MP2K4_HUMAN,3,MP2K4_HUMAN_D0,6416.0,266.0,3ALN_C,7,ESCHERICHIA COLI,Nterm_Histag,Human
61,13,61.9,P22607,FGFR3_HUMAN,1,FGFR3_HUMAN_D0,2261.0,290.0,4K33_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
62,8,66.0,P10721,KIT_HUMAN,1,KIT_HUMAN_D0,3815.0,349.0,4HVS_A,7,ESCHERICHIA COLI,Nterm_Histag,Human
63,131,36.1,Q15418,KS6A1_HUMAN,1,KS6A1_HUMAN_D1,6195.0,258.0,3RNY_B,7,ESCHERICHIA COLI,Nterm_Histag,Human
64,35,50.6,P45983,MK08_HUMAN,26,MK08_HUMAN_D0,5599.0,296.0,1UKH_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
65,159,34.1,P51955,NEK2_HUMAN,20,NEK2_HUMAN_D0,4751.0,264.0,2XKE_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
66,155,34.3,Q13153,PAK1_HUMAN,11,PAK1_HUMAN_D0,5058.0,252.0,3Q52_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
67,128,36.2,P19525,E2AK2_HUMAN,3,E2AK2_HUMAN_D0,5610.0,272.0,3UIU_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
68,314,29.1,Q00534,CDK6_HUMAN,2,CDK6_HUMAN_D0,1021.0,288.0,4EZ5_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
69,200,32.1,Q15375,EPHA7_HUMAN,2,EPHA7_HUMAN_D0,2045.0,262.0,2REI_A,6,ESCHERICHIA COLI BL21(DE3),Cterm_Histag,Human
70,216,31.5,P52564,MP2K6_HUMAN,2,MP2K6_HUMAN_D0,5608.0,262.0,3VN9_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
71,289,30.0,Q8TDX7,NEK7_HUMAN,2,NEK7_HUMAN_D0,140609.0,266.0,2WQN_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
72,77,41.2,Q13873,BMPR2_HUMAN,1,BMPR2_HUMAN_D0,659.0,302.0,3G2F_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
73,256,30.7,Q00536,CDK16_HUMAN,1,CDK16_HUMAN_D0,5127.0,282.0,3MTL_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
74,189,32.5,P54756,EPHA5_HUMAN,1,EPHA5_HUMAN_D0,2044.0,262.0,2R2P_A,6,ESCHERICHIA COLI BL21(DE3),Cterm_Histag,Human
75,137,35.8,Q14680,MELK_HUMAN,1,MELK_HUMAN_D0,9833.0,253.0,4IXP_A,6,ESCHERICHIA COLI,Cterm_Histag,Human
76,87,39.7,P36507,MP2K2_HUMAN,1,MP2K2_HUMAN_D0,5605.0,298.0,1S9I_A,6,ESCHERICHIA COLI BL21(DE3),Cterm_Histag,Human
77,63,43.5,P68400,CSK21_HUMAN,45,CSK21_HUMAN_D0,1457.0,286.0,3AXW_A,4,ESCHERICHIA COLI,Nterm_other_extra_seq,Human
78,24,55.2,O96017,CHK2_HUMAN,36,CHK2_HUMAN_D0,11200.0,267.0,2CN5_A,4,ESCHERICHIA COLI,Nterm_other_extra_seq,Human
79,147,35.0,P41240,CSK_HUMAN,3,CSK_HUMAN_D0,1445.0,255.0,3D7T_A,4,ESCHERICHIA COLI,Nterm_other_extra_seq,Human
80,158,34.1,Q15759,MK11_HUMAN,3,MK11_HUMAN_D0,5600.0,285.0,3GC8_A,4,ESCHERICHIA COLI,Nterm_other_extra_seq,Human
81,151,34.6,P19784,CSK22_HUMAN,2,CSK22_HUMAN_D0,1459.0,286.0,3E3B_X,4,ESCHERICHIA COLI,Nterm_other_extra_seq,Human
82,365,25.5,P27448,MARK3_HUMAN,2,MARK3_HUMAN_D0,4140.0,252.0,2QNJ_A,4,ESCHERICHIA COLI BL21(DE3),Nterm_other_extra_seq,Human
83,240,31.0,Q7KZI7,MARK2_HUMAN,1,MARK2_HUMAN_D0,2011.0,252.0,3IEC_D,4,ESCHERICHIA COLI,Nterm_other_extra_seq,Human
84,49,45.9,P27361,MK03_HUMAN,1,MK03_HUMAN_D0,5595.0,289.0,2ZOQ_B,4,ESCHERICHIA COLI,Nterm_other_extra_seq,Human
85,384,15.4,Q99986,VRK1_HUMAN,1,VRK1_HUMAN_D0,7443.0,281.0,3OP5_D,4,ESCHERICHIA COLI,Nterm_other_extra_seq,Human
86,62,43.5,P17612,KAPCA_HUMAN,94,KAPCA_HUMAN_D0,5566.0,255.0,1XH8_A,0,ESCHERICHIA COLI BL21(DE3),,Bovine
87,43,48.0,P53779,MK10_HUMAN,36,MK10_HUMAN_D0,5602.0,296.0,2B1P_A,0,ESCHERICHIA COLI,,Human
88,40,48.6,O14757,CHK1_HUMAN,9,CHK1_HUMAN_D0,1111.0,257.0,2E9V_A,0,ESCHERICHIA COLI,,Human
89,293,30.0,Q9UIK4,DAPK2_HUMAN,6,DAPK2_HUMAN_D0,23604.0,263.0,1ZWS_H,0,ESCHERICHIA COLI,,Human
90,116,36.6,P07332,FES_HUMAN,4,FES_HUMAN_D0,2242.0,262.0,3CBL_A,0,ESCHERICHIA COLI,,Human
91,203,32.0,O14976,GAK_HUMAN,4,GAK_HUMAN_D0,2580.0,275.0,4O38_A,0,ESCHERICHIA COLI,,Human
92,5,71.5,O60674,JAK2_HUMAN,4,JAK2_HUMAN_D0,3717.0,276.0,2XA4_B,0,ESCHERICHIA COLI,,Human
93,254,30.7,Q14012,KCC1A_HUMAN,4,KCC1A_HUMAN_D0,8536.0,257.0,4FG7_A,0,ESCHERICHIA COLI,,Human
94,125,36.3,O94804,STK10_HUMAN,4,STK10_HUMAN_D0,6793.0,259.0,4BC6_A,0,ESCHERICHIA COLI,,Human
95,389,14.2,Q13418,ILK_HUMAN,3,ILK_HUMAN_D0,3611.0,254.0,3KMW_A,0,ESCHERICHIA COLI,,Human
96,70,42.5,P43405,KSYK_HUMAN,3,KSYK_HUMAN_D0,6850.0,261.0,4F4P_A,0,ESCHERICHIA COLI,,Human
97,36,50.4,Q02763,TIE2_HUMAN,3,TIE2_HUMAN_D0,7010.0,273.0,3L8P_A,0,ESCHERICHIA COLI,,Human
98,7,66.9,P35968,VGFR2_HUMAN,3,VGFR2_HUMAN_D0,3791.0,329.0,1Y6A_A,0,ESCHERICHIA COLI,,Human
99,152,34.6,Q99683,M3K5_HUMAN,2,M3K5_HUMAN_D0,4217.0,259.0,3VW6_A,0,ESCHERICHIA COLI,,Human
100,171,33.5,P49759,CLK1_HUMAN,2,CLK1_HUMAN_D0,1195.0,317.0,2VAG_A,0,ESCHERICHIA COLI,,Human
101,75,41.8,Q14289,FAK2_HUMAN,2,FAK2_HUMAN_D0,2185.0,259.0,3ET7_A,0,ESCHERICHIA COLI,,Human
102,18,57.2,P08069,IGF1R_HUMAN,2,IGF1R_HUMAN_D0,3480.0,276.0,3O23_A,0,ESCHERICHIA COLI,,Human
103,73,41.9,P23458,JAK1_HUMAN,2,JAK1_HUMAN_D0,3716.0,279.0,3EYH_A,0,ESCHERICHIA COLI,,Human
104,173,33.5,Q13557,KCC2D_HUMAN,2,KCC2D_HUMAN_D0,817.0,259.0,2VN9_A,0,ESCHERICHIA COLI,,Human
105,127,36.3,O75582,KS6A5_HUMAN,2,KS6A5_HUMAN_D1,9252.0,262.0,3KN6_A,0,ESCHERICHIA COLI,,Human
106,79,41.1,P45984,MK09_HUMAN,2,MK09_HUMAN_D0,5601.0,296.0,3E7O_A,0,ESCHERICHIA COLI,,Human
107,344,27.7,O95747,OXSR1_HUMAN,2,OXSR1_HUMAN_D0,9943.0,275.0,3DAK_B,0,ESCHERICHIA COLI,,Human
108,38,50.0,Q96GD4,AURKB_HUMAN,1,AURKB_HUMAN_D0,9212.0,251.0,4AF3_A,0,ESCHERICHIA COLI,,Human
109,55,45.3,Q06187,BTK_HUMAN,1,BTK_HUMAN_D0,695.0,254.0,1K2P_A,0,ESCHERICHIA COLI,,Human
110,195,32.1,P49760,CLK2_HUMAN,1,CLK2_HUMAN_D0,1196.0,317.0,3NR9_C,0,ESCHERICHIA COLI,,Human
111,109,37.2,Q09013,DMPK_HUMAN,1,DMPK_HUMAN_D0,1760.0,269.0,2VD5_B,0,ESCHERICHIA COLI,,Human
112,57,45.2,P08631,HCK_HUMAN,1,HCK_HUMAN_D0,3055.0,254.0,2HK5_A,0,ESCHERICHIA COLI,,Human
113,15,60.7,P06213,INSR_HUMAN,1,INSR_HUMAN_D0,3643.0,276.0,2AUH_A,0,ESCHERICHIA COLI,,Human
114,47,46.8,P52333,JAK3_HUMAN,1,JAK3_HUMAN_D0,3718.0,290.0,1YVJ_A,0,ESCHERICHIA COLI,,Human
115,274,30.3,Q9HCP0,KC1G1_HUMAN,1,KC1G1_HUMAN_D0,53944.0,272.0,2CMW_A,0,ESCHERICHIA COLI,,Human
116,236,31.1,P78368,KC1G2_HUMAN,1,KC1G2_HUMAN_D0,1455.0,271.0,2C47_A,0,ESCHERICHIA COLI,,Human
117,249,30.8,Q8IU85,KCC1D_HUMAN,1,KCC1D_HUMAN_D0,57118.0,257.0,2JC6_A,0,ESCHERICHIA COLI,,Human
118,309,29.6,Q96NX5,KCC1G_HUMAN,1,KCC1G_HUMAN_D0,57172.0,255.0,2JAM_A,0,ESCHERICHIA COLI,,Human
119,246,30.9,Q13554,KCC2B_HUMAN,1,KCC2B_HUMAN_D0,816.0,259.0,3BHH_D,0,ESCHERICHIA COLI,,Human
120,83,40.7,Q04759,KPCT_HUMAN,1,KPCT_HUMAN_D0,5588.0,255.0,1XJD_A,0,ESCHERICHIA COLI BL21(DE3),,Human
121,123,36.4,P80192,M3K9_HUMAN,1,M3K9_HUMAN_D0,4293.0,269.0,3DTC_A,0,ESCHERICHIA COLI,,Human
122,110,37.0,Q9P0L2,MARK1_HUMAN,1,MARK1_HUMAN_D0,4139.0,252.0,2HAK_E,0,ESCHERICHIA COLI,,Human
123,288,30.0,Q16659,MK06_HUMAN,1,MK06_HUMAN_D0,5597.0,297.0,2I6L_B,0,ESCHERICHIA COLI,,Human
124,111,36.9,P53778,MK12_HUMAN,1,MK12_HUMAN_D0,6300.0,285.0,1CM8_A,0,ESCHERICHIA COLI,,Human
125,429,6.4,Q8NB16,MLKL_HUMAN,1,MLKL_HUMAN_D0,197259.0,276.0,4M67_A,0,ESCHERICHIA COLI,,Human
126,45,47.2,P04629,NTRK1_HUMAN,1,NTRK1_HUMAN_D0,4914.0,272.0,4F0I_A,0,ESCHERICHIA COLI,,Human
127,96,38.5,O15530,PDPK1_HUMAN,1,PDPK1_HUMAN_D0,5170.0,261.0,2R7B_A,0,ESCHERICHIA COLI,,Human
128,105,37.4,Q9P1W9,PIM2_HUMAN,1,PIM2_HUMAN_D0,11040.0,255.0,2IWI_A,0,ESCHERICHIA COLI,,Human
129,202,32.0,O00444,PLK4_HUMAN,1,PLK4_HUMAN_D0,10733.0,254.0,3COK_B,0,ESCHERICHIA COLI BL21(DE3),,Human
130,29,52.2,P53350,PLK1_HUMAN,1,PLK1_HUMAN_D0,5347.0,253.0,3THB_A,0,ESCHERICHIA COLI,,Human
131,297,29.9,O00506,STK25_HUMAN,1,STK25_HUMAN_D0,10494.0,251.0,2XIK_A,0,ESCHERICHIA COLI,,Human
132,112,36.8,Q13043,STK4_HUMAN,1,STK4_HUMAN_D0,6789.0,252.0,3COM_A,0,ESCHERICHIA COLI BL21(DE3),,Human
133,19,56.4,P36897,TGFR1_HUMAN,1,TGFR1_HUMAN_D0,7046.0,291.0,1B6C_F,0,ESCHERICHIA COLI,,Human
134,20,56.4,P17948,VGFR1_HUMAN,1,VGFR1_HUMAN_D0,2321.0,332.0,3HNG_A,0,ESCHERICHIA COLI,,Human
135,,,,,0,AAPK1_HUMAN_D0,,,,0,,,
136,,,,,0,CDK1_HUMAN_D0,,,,0,,,
137,,,,,0,CDK4_HUMAN_D0,,,,0,,,
138,,,,,0,CDK9_HUMAN_D0,,,,0,,,
139,,,,,0,CDK7_HUMAN_D0,,,,0,,,
140,,,,,0,CDK5_HUMAN_D0,,,,0,,,
141,,,,,0,EGFR_HUMAN_D0,,,,0,,,
142,,,,,0,ERBB4_HUMAN_D0,,,,0,,,
143,,,,,0,ERBB2_HUMAN_D0,,,,0,,,
144,,,,,0,HIPK2_HUMAN_D0,,,,0,,,
145,,,,,0,IKKA_HUMAN_D0,,,,0,,,
146,,,,,0,IKKB_HUMAN_D0,,,,0,,,
147,,,,,0,M3K7_HUMAN_D0,,,,0,,,
148,,,,,0,AAK1_HUMAN_D0,,,,0,,,
149,,,,,0,ABL2_HUMAN_D0,,,,0,,,
150,,,,,0,ACK1_HUMAN_D0,,,,0,,,
151,,,,,0,ACV1C_HUMAN_D0,,,,0,,,
152,,,,,0,ACV1B_HUMAN_D0,,,,0,,,
153,,,,,0,ACVR1_HUMAN_D0,,,,0,,,
154,,,,,0,ACVL1_HUMAN_D0,,,,0,,,
155,,,,,0,ADCK1_HUMAN_D0,,,,0,,,
156,,,,,0,ADCK2_HUMAN_D0,,,,0,,,
157,,,,,0,ADCK3_HUMAN_D0,,,,0,,,
158,,,,,0,ADCK4_HUMAN_D0,,,,0,,,
159,,,,,0,ADCK5_HUMAN_D0,,,,0,,,
160,,,,,0,AKT3_HUMAN_D0,,,,0,,,
161,,,,,0,AKT2_HUMAN_D0,,,,0,,,
162,,,,,0,AKT1_HUMAN_D0,,,,0,,,
163,,,,,0,ALK_HUMAN_D0,,,,0,,,
164,,,,,0,AMHR2_HUMAN_D0,,,,0,,,
165,,,,,0,ANKK1_HUMAN_D0,,,,0,,,
166,,,,,0,ANPRB_HUMAN_D0,,,,0,,,
167,,,,,0,ANPRA_HUMAN_D0,,,,0,,,
168,,,,,0,ARAF_HUMAN_D0,,,,0,,,
169,,,,,0,ARBK2_HUMAN_D0,,,,0,,,
170,,,,,0,ARBK1_HUMAN_D0,,,,0,,,
171,,,,,0,AURKC_HUMAN_D0,,,,0,,,
172,,,,,0,AVR2A_HUMAN_D0,,,,0,,,
173,,,,,0,AVR2B_HUMAN_D0,,,,0,,,
174,,,,,0,BLK_HUMAN_D0,,,,0,,,
175,,,,,0,BMP2K_HUMAN_D0,,,,0,,,
176,,,,,0,BMR1B_HUMAN_D0,,,,0,,,
177,,,,,0,BMR1A_HUMAN_D0,,,,0,,,
178,,,,,0,BMX_HUMAN_D0,,,,0,,,
179,,,,,0,BRSK2_HUMAN_D0,,,,0,,,
180,,,,,0,BRSK1_HUMAN_D0,,,,0,,,
181,,,,,0,BUB1_HUMAN_D0,,,,0,,,
182,,,,,0,BUB1B_HUMAN_D0,,,,0,,,
183,,,,,0,CAMKV_HUMAN_D0,,,,0,,,
184,,,,,0,CD11A_HUMAN_D0,,,,0,,,
185,,,,,0,CD11B_HUMAN_D0,,,,0,,,
186,,,,,0,CDC7_HUMAN_D0,,,,0,,,
187,,,,,0,CDK10_HUMAN_D0,,,,0,,,
188,,,,,0,CDK14_HUMAN_D0,,,,0,,,
189,,,,,0,CDK12_HUMAN_D0,,,,0,,,
190,,,,,0,CDK13_HUMAN_D0,,,,0,,,
191,,,,,0,CDK18_HUMAN_D0,,,,0,,,
192,,,,,0,CDK15_HUMAN_D0,,,,0,,,
193,,,,,0,CDK19_HUMAN_D0,,,,0,,,
194,,,,,0,CDK17_HUMAN_D0,,,,0,,,
195,,,,,0,CDK20_HUMAN_D0,,,,0,,,
196,,,,,0,CDK3_HUMAN_D0,,,,0,,,
197,,,,,0,CDK8_HUMAN_D0,,,,0,,,
198,,,,,0,CDKL2_HUMAN_D0,,,,0,,,
199,,,,,0,CDKL3_HUMAN_D0,,,,0,,,
200,,,,,0,CDKL4_HUMAN_D0,,,,0,,,
201,,,,,0,CDKL5_HUMAN_D0,,,,0,,,
202,,,,,0,CLK4_HUMAN_D0,,,,0,,,
203,,,,,0,CSF1R_HUMAN_D0,,,,0,,,
204,,,,,0,CSK23_HUMAN_D0,,,,0,,,
205,,,,,0,CTRO_HUMAN_D0,,,,0,,,
206,,,,,0,DCLK1_HUMAN_D0,,,,0,,,
207,,,,,0,DCLK2_HUMAN_D0,,,,0,,,
208,,,,,0,DCLK3_HUMAN_D0,,,,0,,,
209,,,,,0,DDR1_HUMAN_D0,,,,0,,,
210,,,,,0,DDR2_HUMAN_D0,,,,0,,,
211,,,,,0,DUSTY_HUMAN_D0,,,,0,,,
212,,,,,0,DYR1B_HUMAN_D0,,,,0,,,
213,,,,,0,DYRK3_HUMAN_D0,,,,0,,,
214,,,,,0,DYRK4_HUMAN_D0,,,,0,,,
215,,,,,0,E2AK1_HUMAN_D0,,,,0,,,
216,,,,,0,E2AK4_HUMAN_D0,,,,0,,,
